"tutto",261041
"della",238306
"fatto",222451
"detto",195165
"stato",171066
"anche",167954
"tutti",166194
"molto",163230
"posso",147823
"prima",141982
"siamo",138603
"hanno",134281
"delle",114624
"altro",108511
"forse",103463
"tempo",97360
"nella",97030
"certo",96918
"fuori",96097
"credo",93087
"parte",90755
"visto",89168
"volta",85136
"amico",81626
"stata",78220
"padre",77591
"posto",76222
"vuole",71661
"senza",66088
"penso",62897
"cazzo",61834
"dalla",60386
"sulla",59790
"mamma",59343
"avete",58480
"tanto",58477
"altra",57479
"nuovo",57478
"madre",57252
"fosse",56975
"avere",56328
"aveva",55256
"farlo",54195
"abbia",54011
"soldi",52601
"prego",51858
"vieni",50895
"gente",50733
"senti",50124
"piace",49869
"avevo",48273
"degli",47748
"siete",47403
"tutte",46131
"forza",45941
"avuto",45177
"altri",44741
"tutta",44718
"donna",44546
"pensi",44474
"preso",44292
"mondo",43981
"notte",42772
"basta",42572
"stare",42168
"testa",41400
"sotto",40945
"volte",39879
"nulla",39384
"bella",39354
"buona",39075
"erano",38571
"porta",38372
"morto",38201
"avrei",36771
"serve",36391
"scusa",35728
"bello",34923
"paura",33691
"letto",33203
"aiuto",32414
"amici",32372
"stavo",32172
"state",31082
"merda",30973
"amore",30869
"città",30700
"piano",30598
"stati",29760
"morte",29450
"primo",29251
"quasi",28304
"quale",27980
"punto",27046
"scusi",27042
"credi",26757
"terra",26304
"sento",26218
"Salve",26126
"occhi",25564
"colpa",25388
"perso",25288
"tardi",24882
"stava",24706
"viene",24098
"nelle",24079
"cuore",23767
"messo",23672
"spero",22995
"pensa",22727
"fanno",22639
"possa",22457
"altre",22305
"fatta",22294
"acqua",22228
"serio",21995
"fossi",21784
"forte",21771
"bravo",21552
"sacco",21288
"corpo",21105
"donne",21049
"verso",20097
"parla",20041
"quell",19907
"festa",19723
"conto",19458
"prova",19358
"farti",19304
"senso",18999
"unica",18941
"nuova",18819
"vista",18780
"piedi",18695
"mezzo",18687
"sopra",18348
"dimmi",18157
"quest",18123
"farmi",17760
"gioco",17625
"figli",17543
"unico",17466
"resto",17417
"dammi",17261
"mente",17014
"avevi",16920
"siano",16698
"fuoco",16570
"morta",16542
"tizio",15889
"dalle",15843
"sarei",15688
"fammi",15536
"molti",15523
"andrà",15184
"causa",14778
"sulle",14672
"paese",14631
"tieni",14512
"negli",14500
"buono",14467
"libro",14462
"sesso",14303
"torna",14041
"farai",13871
"lungo",13771
"entra",13688
"dirmi",13589
"fatti",13490
"molte",13460
"dieci",13224
"dello",13147
"campo",13122
"sarai",13119
"parli",12996
"cerca",12990
"amica",12893
"bagno",12889
"onore",12849
"caffè",12605
"usare",12538
"cielo",12511
"morti",12443
"dirlo",12358
"trova",12295
"passo",12284
"circa",12222
"bocca",11851
"poter",11815
"prove",11766
"Oddio",11642
"crede",11599
"oltre",11579
"dirti",11454
"brava",11226
"resta",11216
"colpo",11189
"metti",11182
"fondo",11138
"pazzo",11077
"lasci",11021
"vanno",10979
"venga",10929
"fermo",10904
"grado",10903
"zitto",10646
"torno",10630
"sogno",10550
"verrà",10455
"pezzo",10404
"direi",10342
"scena",10325
"legge",10276
"porto",10227
"nello",10194
"lista",10008
"addio",10006
"giuro",9862
"ormai",9828
"vengo",9715
"quali",9625
"avrai",9601
"aereo",9570
"disse",9536
"sanno",9524
"pieno",9461
"presa",9407
"fallo",9298
"Peter",9169
"usato",9099
